Designator,Mid X,Mid Y,Layer,Rotation
C1,176.3,-50.5,top,0
C2,169.9,-50.4,top,-90
C3,167.75,-42.6,top,-90
C4,171.8,-53.7,top,180
C5,174.4,-39.5,top,0
C6,176.1375,-41.05,top,180
D1,170.625,-47.7,top,180
D2,154.7,-48.2,top,180
DIn,180.2,-34.75,top,0
DOut,180.2,-41.75,top,0
DOut_3.3,180.2,-38.25,top,0
Gnd,180.25,-49.75,top,0
J1,154.85,-52.275,top,90
L1,172.4,-50.6,top,90
Pwr,180.25,-53.25,top,0
R1,175.4,-48.95,top,0
R2,168.1,-48.6,top,90
R3,175.4,-47.45,top,180
R4,154.7,-49.7,top,0
SW1,158.8,-40.3,top,180
U1,170.5,-42.6,top,180
U2,176.3,-53,top,0
U3,169.3,-37.7,top,0
U4,175.2,-43.9,top,0
